Id,SalePrice
1461,117356.5016
1462,165256.2916
1463,177654.5888
1464,185461.4319
1465,189132.1309
1466,172524.8323
1467,175492.9888
1468,161587.1608
1469,188639.6915
1470,122076.6559
1471,190973.6745
1472,95994.08061
1473,96729.96458
1474,146461.1982
1475,108725.514
1476,353748.4181
1477,244289.619
1478,277263.1818
1479,280294.5278
1480,492130.3221
1481,330687.0295
1482,203267.2555
1483,173710.0229
1484,163384.9798
1485,188755.2628
1486,197602.5108
1487,321660.1961
1488,227790.2349
1489,201535.4228
1490,234636.8573
1491,198028.4192
1492,91610.1892
1493,178770.4651
1494,294455.0756
1495,280139.1901
1496,235265.8508
1497,202131.2662
1498,168109.7209
1499,162437.6491
1500,154940.5698
1501,177111.483
1502,145473.1764
1503,292302.1653
1504,240449.9186
1505,226930.4374
1506,190084.0753
1507,248618.7195
1508,195977.7376
1509,160654.0516
1510,144931.1653
1511,153190.5435
1512,179407.8337
1513,139232.5775
1514,148115.9324
1515,197825.6974
1516,148389.4289
1517,168931.1116
1518,130563.1205
1519,219678.7173
1520,131732.893
1521,132865.4379
1522,178320.0747
1523,108176.5689
1524,129751.8785
1525,122194.1337
1526,110529.8831
1527,106059.6972
1528,133374.6406
1529,148038.2269
1530,179389.0971
1531,115343.1169
1532,98949.59709
1533,151381.5221
1534,117417.4776
1535,149891.2693
1536,108473.2635
1537,66367.4209
1538,152111.823
1539,203522.3752
1540,97846.50683
1541,135643.0477
1542,136104.2848
1543,207385.006
1544,89261.85218
1545,115791.0455
1546,133546.2812
1547,132519.8474
1548,140500.7663
1549,112242.2705
1550,137138.0745
1551,113061.3725
1552,144138.6035
1553,142686.6375
1554,113820.2506
1555,169340.5137
1556,88607.62444
1557,106098.8715
1558,98780.22425
1559,81960.53425
1560,139397.623
1561,125165.0276
1562,132630.6732
1563,123761.4508
1564,159465.9952
1565,144981.6755
1566,242290.5497
1567,77329.96166
1568,236808.1025
1569,128229.6798
1570,144558.8871
1571,126766.2069
1572,142320.6173
1573,235335.3227
1574,124859.7605
1575,242199.4303
1576,247472.8546
1577,188870.1859
1578,140752.2502
1579,147092.9512
1580,186370.2774
1581,156458.9312
1582,126270.3534
1583,315426.3877
1584,216672.1566
1585,138415.114
1586,61080.32667
1587,106305.1281
1588,154453.5969
1589,95922.92889
1590,134974.0976
1591,91101.24497
1592,116310.1812
1593,120545.1631
1594,123255.6589
1595,109100.5713
1596,228296.1964
